学校名,所在地,,种类,荣誉,首页网址,,,,数据来源：http://www.gaokaopai.com/daxue.html
宁夏工业职业学院,宁夏,银川,理工类,,http://www.ngzy.nx.edu.cn,,,,
天津城市职业学院,天津,天津,综合类,,http://www.tjcsxy.cn/,,,,
天津医学高等专科学校,天津,天津,医药类,,http://www.tjyzh.cn/,,,,
天津公安警官职业学院,天津,天津,政法类,,http://www.tjjingyuan.cn/,,,,
内蒙古工业职业学院,内蒙古,呼和浩特,理工类,,http://www.nmgongye.cn,,,,
天津交通职业学院,天津,天津,理工类,,http://www.tjtvc.com/,,,,
天津中德职业技术学院,天津,天津,理工类,,http://www.zdtj.cn/,,,,
内蒙古商贸职业学院,内蒙古,呼和浩特,财经类,,http://www.imvcc.com/,,,,
内蒙古化工职业学院,内蒙古,呼和浩特,理工类,,http://www.hgzyxy.com.cn/,,,,
兴安职业技术学院,内蒙古,古乌兰浩特,师范类,,http://www.nmxzy.cn/,,,,
内江职业技术学院,四川,内江,综合类,,http://www.njvtc.cn/,,,,
云南科技信息职业学院,云南,昆明,理工类,,http://www.ynkexin.cn/,,,,
云南现代职业技术学院,云南,昆明,综合类,,http://www.ynxd.net.cn/,,,,
大连航运职业技术学院,辽宁,大连,理工类,,http://www.dlsc.net.cn/,,,,
云南热带作物职业学院,云南,普洱,农林类,,http://www.ynry.cn/,,,,
云南旅游职业学院,云南,昆明,财经类,,http://www.ynctv.com/,,,,
云南新兴职业学院,云南,昆明,综合类,,http://http//www.ynxzy.com,,,,
云南外事外语职业学院,云南,昆明,语言类,,http://www.fafl.cn/,,,,
大连职业技术学院,辽宁,大连,综合类,,http://www.dlvtc.edu.cn,,,,
大连翻译职业学院,辽宁,大连,语言类,,http://www.dltcedu.org/,,,,
云南三鑫职业技术学院,云南,文山,理工类,,http://www.ynsxzy.com/,,,,
大连汽车职业技术学院,辽宁,大连,理工类,,http://www.dlqcxy.net/,,,,
大连枫叶职业技术学院,辽宁,大连,理工类,,http://www.dlxgjy.com/,,,,
大庆医学高等专科学校,黑龙江,大庆,医药类,,http://dqyz.petrodaqing.com/,,,,
大兴安岭职业学院,黑龙江,加格达奇,综合类,,http://www.dxalu.com/,,,,
四川长江职业学院,四川,成都,综合类,,http://www.sccvc.com/,,,,
四川财经职业学院,四川,成都,财经类,,http://www.scpcfe.cn/tabid/40/Default.aspx,,,,
四川艺术职业学院,四川,成都,艺术类,,http://www.scapi.cn/,,,,
四川管理职业学院,四川,成都,财经类,,http://www.scmpi.cn/,,,,
四川科技职业学院,四川,成都,综合类,,http://scstc.cn/,,,,
四川电力职业技术学院,四川,成都,理工类,,http://www.kc.sc.sgcc.com.cn/www/default.asp,,,,
四川现代职业学院,四川,成都,财经类,,http://www.scmvc.cn/,,,,
四川汽车职业技术学院,四川,绵阳,医药类,,http://www.scavtc.com/,,,,
四川文化传媒职业学院,四川,成都,综合类,,http://www.svccc.net/,,,,
四川水利职业技术学院,四川,都江堰,理工类,,http://www.swcvc.net.cn/,,,,
四川希望汽车职业学院,四川,资阳,理工类,,http://qicheedu.com/,,,,
四川化工职业技术学院,四川,泸州,理工类,,http://sccc.edu.cn/index.asp,,,,
潇湘职业学院,湖南,娄底,综合类,,http://www.hnxxc.com/,,,,
四川信息职业技术学院,四川,广元,理工类,,http://www.scitc.com.cn/,,,,
吉林司法警官职业学院,吉林,长春,政法类,,http://www.jlsfjy.cn/,,,,
合肥职业技术学院,安徽,巢湖,综合类,,http://www1.chzy.org/,,,,
厦门海洋职业技术学院,福建,厦门,农林类,,http://www.xmoc.cn/,,,,
厦门安防科技职业学院,福建,厦门,理工类,,http://www.xmafkj.com/,,,,
厦门城市职业学院,福建,厦门,综合类,,http://www.xmcu.cn/,,,,
厦门南洋职业学院,福建,厦门,综合类,,http://www.ny2000.com/,,,,
厦门兴才职业技术学院,福建,厦门,综合类,,http://www.xmxc.com/,,,,
南阳医学高等专科学校,河南,南阳,医药类,,http://www.nymc.cn/,,,,
北京京北职业技术学院,北京,北京,理工类,,http://www.jbzy.com.cn/,,,,
内蒙古经贸外语职业学院,内蒙古,呼和浩特,语言类,,http://www.nmgjwy.com/,,,,
内蒙古建筑职业技术学院,内蒙古,呼和浩特,理工类,,http://www.imaa.edu.cn/structure/index.htm,,,,
内蒙古北方职业技术学院,内蒙古,呼和浩特,综合类,,http://www.nmbfxy.com,,,,
六安职业技术学院,安徽,六安,理工类,,http://www.lvtc.edu.cn/,,,,
克拉玛依职业技术学院,新疆,克拉玛依,理工类,,http://www.kzjsxy.net/,,,,
信阳职业技术学院,河南,信阳,师范类,,http://www.xyvtc.edu.cn/,,,,
伊春职业学院,黑龙江,伊春,综合类,,http://www.ycvc.com.cn/,,,,
亳州职业技术学院,安徽,亳州,理工类,,http://www.bzvtc.com/,,,,
云南锡业职业技术学院,云南,红河,理工类,,http://http：//www.ytvtc.com,,,,
云南经贸外事职业学院,云南,昆明,财经类,,http://www.ynjw.net/,,,,
云南林业职业技术学院,云南,昆明,林业类,,http://www.ynftc.cn/,,,,
云南文化艺术职业学院,云南,昆明,艺术类,,http://www.ynarts.cn/,,,,
云南城市建设职业学院,云南,昆明,综合类,,http://www.yncjxy.com/,,,,
云南商务职业学院,云南,昆明,财经类,,http://www.ynswxy.com/,,,,
九州职业技术学院,江苏,徐州,理工类,,http://www.jznu.com.cn/,,,,
乐山职业技术学院,四川,乐山,综合类,,http://www.lszyxy.com/,,,,
义乌工商职业技术学院,浙江,义乌,综合类,,http://www.ywu.cn/,,,,
郑州工程技术学院,河南,郑州,理工类,,http://www.zhzhu.edu.cn,,,,
东莞职业技术学院,广东,东莞,理工类,,http://www.dgpt.edu.cn/,,,,
廊坊职业技术学院,河北,廊坊,理工类,,http://www.lfzj.cn/,,,,
辽宁省交通高等专科学校,辽宁,沈阳,理工类,,http://www.lncc.edu.cn/index.asp,,,,
吉林城市职业技术学院,吉林,长春,综合类,,http://223.4.200.29:30018/about.aspx?id=15,,,,
北京卫生职业学院,北京,北京,理工类,,http://www.bjwszyxy.com,,,,
内蒙古美术职业学院,内蒙古,古巴彦淖尔,艺术类,,http://www.nmgmsxy.net/,,,,
景德镇陶瓷职业技术学院,江西,景德镇,理工类,,http://www.jcivt.com/,,,,
惠州卫生职业技术学院,广东,惠州,理工类,,http://www.hzwx.cn/index.aspx,,,,
河北外国语职业学院,河北,秦皇岛,语言类,,http://www.hbvcfl.com.cn,,,,
桐城师范高等专科学校,安徽,桐城,师范类,,http://www.tcsfgz.com/,,,,
泊头职业学院,河北,泊头,综合类,,http://www.btzyxy.com.cn/,,,,
保定电力职业技术学院,河北,保定,理工类,,http://www.bddy.cn/,,,,
漯河食品职业学院,河南,漯河,理工类,,http://www.lsgx.com.cn/new/,,,,
廊坊卫生职业学院,河北,廊坊,医药类,,http://www.lfwx.net/,,,,
信阳涉外职业技术学院,河南,信阳,理工类,,http://www.xyswxy.com/,,,,
广西现代职业技术学院,广西,河池,综合类,,http://www.gxxd.net.cn/new/,,,,
山西轻工职业技术学院,山西,太原,理工类,,http://www.sxqgzy.cn/,,,,
陕西工商职业学院,陕西,西安,财经类,,http://www.snbcedu.cn/,,,,
运城职业技术学院,山西,运城,理工类,,http://www.ycptu.edu.cn/,,,,
安徽矿业职业技术学院,安徽,淮北,理工类,,http://www.anhky.com/,,,,
石家庄科技职业学院,河北,石家庄,理工类,,http://www.sjzkjxy.net/,,,,
甘肃机电职业技术学院,甘肃,天水,理工类,,http://www.gsjdxy.com/,,,,
天门职业学院,湖北,天门,综合类,,http://www.tmzyxy.cn/,,,,
三峡旅游职业技术学院,湖北,宜昌,师范类,,http://www.sxlyzy.edu.cn/,,,,
荆州理工职业学院,湖北,荆州,理工类,,http://www.jzlg.cn/,,,,
大连软件职业学院,辽宁,大连,理工类,,http://www.dlrj.edu.cn/,,,,
襄阳汽车职业技术学院,湖北,襄阳,理工类,,http://www.xyqczy.com/,,,,
阳泉师范高等专科学校,山西,阳泉,师范类,,http://www.sxyqsz.cn/,,,,
大同煤炭职业技术学院,山西,大同,理工类,,http://www.dtmtxy.cn/,,,,
山西职业技术学院,山西,太原,理工类,,http://www.sxzzy.cn/,,,,
山西青年职业学院,山西,太原,综合类,,http://www.sxqzy.cn/,,,,
北京交通运输职业学院,北京,北京,理工类,,http://www.bjjtxx.com/,,,,
重庆安全技术职业学院,重庆,重庆,理工类,,http://www.cqvist.net/,,,,
重庆旅游职业学院,重庆,重庆,综合类,,http://www.cqvit.com/,,,,
滁州城市职业学院,安徽,滁州,财经类,,http://www.fysf.com/main/,,,,
北京体育职业学院,北京,北京,体育类,,http://www.bjtzhy.org ?,,,,
泰山护理职业学院,山东,泰安,医药类,,http://www.tawx.com.cn/,,,,
潍坊护理职业学院,山东,青州,医药类,,http://www.wfhlxy.com/,,,,
江西工商职业技术学院,江西,南昌,财经类,,http://www.jxgsxy.cn/,,,,
满洲里俄语职业学院,内蒙古,古满洲里,语言类,,http://ey.mzlxy.cn/,,,,
呼伦贝尔职业技术学院,内蒙古,古呼伦贝尔,综合类,,http://hlbrzy.com/,,,,
吉林科技职业技术学院,吉林,长春,理工类,,http://www.jilinkj.com/,,,,
四平职业大学,吉林,四平,理工类,,http://www.jlsppc.cn/,,,,
江西新能源科技职业学院,江西,新余,理工类,,http://www.jxnee.com/,,,,
黑龙江护理高等专科学校,黑龙江,哈尔滨,医药类,,http://www.hljhlgz.com/,,,,
江苏建筑职业技术学院,江苏,徐州,理工类,,http://www.jsjzi.edu.cn/,,,,
江苏建康职业学院,江苏,南京,医药类,,http://www.jssmu.edu.cn/,,,,
海南外国语职业学院,海南,文昌,语言类,,http://www.hnflvc.com/,,,,
江西制造职业技术学院,江西,南昌,理工类,,http://www.jxmtc.com/,,,,
天津冶金职业技术学院,天津,天津,理工类,,http://www.tjmvti.cn/,,,,
山东医学高等专科学校,山东,临沂,医药类,,http://www.sdmc.net.cn/,,,,
海南经贸职业技术学院,海南,海口,财经类,,http://hnjmc.com/,,,,
天津海运职业学院,天津,天津,综合类,,http://www.tjhyzyxy.com,,,,
天津铁道职业技术学院,天津,天津,理工类,,http://www.tjtdxy.cn/,,,,
河北软件职业技术学院,河北,保定,理工类,,http://www.hbsi.com.cn/,,,,
武汉交通职业学院,湖北,武汉,理工类,,http://www.whtcc.edu.cn,,,,
武汉民政职业学院,湖北,武汉,政法类,,http://www.whmzxy.cn/,,,,
武汉铁路职业技术学院,湖北,武汉,理工类,,http://www.wru.com.cn/,,,,
江苏海事职业技术学院,江苏,南京,理工类,,http://www1.jmi.edu.cn/,,,,
鄂东职业技术学院,湖北,黄冈,理工类,,http://www.edzy.cn/,,,,
广西经贸职业技术学院,广西,南宁,财经类,,http://www.gxjmzy.com/,,,,
广州南洋理工职业学院,广东,广州,综合类,,http://www.nyjy.cn/,,,,
湖北国土资源职业学院,湖北,荆州,理工类,,http://www.hbgt.com.cn/,,,,
江西建设职业技术学院,江西,南昌,理工类,,http://www.jxjsxy.com/contents/3/156_v.aspx,,,,
南充职业技术学院,四川,南充,综合类,,http://www.nczy.com/,,,,
唐山科技职业技术学院,河北,唐山,理工类,,http://www.?tskjzy.?cn,,,,
山西旅游职业学院,山西,太原,语言类,,http://www.sxtvi.com.cn/,,,,
四川航天职业技术学院,四川,成都,理工类,,http://www.sacvt.com/,,,,
天津石油职业技术学院,天津,天津,理工类,,http://www.tjsyxy.com/main/,,,,
保险职业学院,湖南,长沙,财经类,,http://www.bxxy.com/,,,,
北京汇佳职业学院,北京,北京,语言类,,http://www.hju.net.cn/,,,,
北京培黎职业学院,北京,北京,综合类,,http://www.bjpldx.edu.cn/,,,,
苏州健雄职业技术学院,江苏,太仓,理工类,,http://www.wjxvtc.cn/,,,,
江苏财经职业技术学院,江苏,淮安,财经类,,http://www.jscjxy.cn/,,,,
苏州工业职业技术学院,江苏,苏州,理工类,,http://www.siit.cn/,,,,
南京旅游职业学院,江苏,南京,财经类,,http://www.njith.net,,,,
宁波城市职业技术学院,浙江,宁波,综合类,,http://www.nbcc.cn/,,,,
浙江体育职业技术学院,浙江,杭州,体育类,,http://www.zjcs.net.cn/,,,,
台州科技职业学院,浙江,台州,综合类,,http://www.tzvcst.net/,,,,
安徽机电职业技术学院,安徽,芜湖,理工类,,http://www.ahcme.cn/,,,,
锡林郭勒职业学院,内蒙古,古锡林浩特,综合类,,http://www.xlglvc.cn/,,,,
内蒙古交通职业技术学院,内蒙古,古赤峰,理工类,,http://www.nmjtzy.com/,,,,
通辽职业学院,内蒙古,古通辽,综合类,,http://www.tlzyxy.com/,,,,
乌兰察布职业学院,内蒙古,古乌兰察布,综合类,,http://www.wlcbzyxy.com.cn/,,,,
乌海职业技术学院,内蒙古,古乌海,理工类,,http://www.whvtc.net,,,,
内蒙古机电职业技术学院,内蒙古,呼和浩特,理工类,,http://www.nmgjdxy.com/web/main/,,,,
包头铁道职业技术学院,内蒙古,古包头,理工类,,http://www.bttzy.com/,,,,
辽宁建筑职业学院,辽宁,辽阳,理工类,,http://www.lnjzxy.com,,,,
吉林铁道职业技术学院,吉林,吉林,理工类,,http://www.jtpt.cn/,,,,
七台河职业学院,黑龙江,七台河,综合类,,http://www.qthzyxy.com/,,,,
佳木斯职业学院,黑龙江,佳木斯,综合类,,http://www.jmszy.com/,,,,
无锡城市职业技术学院,江苏,无锡,财经类,,http://101.76.40.10/wxcsxy/,,,,
北京科技大学延庆分校,北京,北京,理工类,,http://www.ustbyq.com/,,,,
北京劳动保障职业学院,北京,北京,财经类,,http://www.bvclss.cn/,,,,
北京社会管理职业学院,北京,北京,政法类,,http://www.bcsa.edu.cn,,,,
河北机电职业技术学院,河北,邢台,理工类,,http://www.hbjd.com.cn/,,,,
冀中职业学院,河北,保定,理工类,,http://www.jzhxy.com/,,,,
太原电力高等专科学校,山西,太原,理工类,,http://211.82.16.68/,,,,
山西省财政税务专科学校,山西,太原,财经类,,http://www.sxftc.edu.cn:8089/schoolww/,,,,
河北公安警察职业学院,河北,石家庄,政法类,,http://www.hebsjy.com/,,,,
河北女子职业技术学院,河北,石家庄,语言类,,http://www.hebnzxy.com/,,,,
太原旅游职业学院,山西,太原,语言类,,http://www.tylyzyxy.com/,,,,
山西警官职业学院,山西,太原,政法类,,http://www.sxpolice.cn/,,,,
山西体育职业学院,山西,太原,体育类,,http://www.sxptc.com,,,,
山西国际商务职业学院,山西,太原,财经类,,http://www.sxibs.com/,,,,
忻州职业技术学院,山西,忻州,综合类,,http://www.xzvtc.com/,,,,
武威职业学院,甘肃,武威,综合类,,http://www.wwoc.cn/,,,,
北海职业学院,广西,北海,综合类,,http://www.bhzyxy.net/,,,,
广西工业职业技术学院,广西,南宁,理工类,,http://www.gxic.net/,,,,
广西工商职业技术学院,广西,南宁,财经类,,http://www.gxgsxy.com/,,,,
海南软件职业技术学院,海南,琼海,理工类,,http://www.hnspi.net/,,,,
海南科技职业学院,海南,海口,理工类,,http://www.hnkjedu.cn/,,,,
重庆医药高等专科学校,重庆,重庆,医药类,,http://www.cqyygz.com/,,,,
重庆青年职业技术学院,重庆,重庆,综合类,,http://www.cqqzy.cn/,,,,
重庆工商职业学院,重庆,重庆,综合类,,http://www.cqtbi.edu.cn/,,,,
重庆工贸职业技术学院,重庆,重庆,综合类,,http://www.e9151.com/school/about_school_1498.html,,,,
重庆电子工程职业学院,重庆,重庆,理工类,,http://www.cqcet.com/,,,,
重庆财经职业学院,重庆,重庆,财经类,,http://cqcfezs.university-hr.cn/school_brief_introduction_zs.php,,,,
重庆建筑工程职业学院,重庆,重庆,理工类,,http://www.cctc.cq.cn/,,,,
四川中医药高等专科学校,四川,绵阳,医药类,,http://www.scctcm.cn/,,,,
成都职业技术学院,四川,成都,综合类,,http://www.cdvtc.com/cdvtc07/,,,,
四川邮电职业技术学院,四川,成都,理工类,,http://www.sptpc.com/Category_1/Index.aspx,,,,
四川文化产业职业学院,四川,成都,综合类,,http://www.scvcci.cn/chinese/index.asp,,,,
四川司法警官职业学院,四川,德阳,政法类,,http://www.sjpopc.net/,,,,
四川商务职业学院,四川,成都,财经类,,http://www.scsw.net.cn/,,,,
丽江师范高等专科学校,云南,丽江,师范类,,http://www.lj-edu.cn/,,,,
云南机电职业技术学院,云南,昆明,理工类,,http://www.ynmec.com,,,,
毕节职业技术学院,贵州,毕节,综合类,,http://www.gzbjzy.edu.cn/,,,,
保山中医药高等专科学校,云南,保山,医药类,,http://www.bszyz.cn,,,,
汉中职业技术学院,陕西,汉中,综合类,,http://www.hzvtc.cn/,,,,
咸阳职业技术学院,陕西,咸阳,综合类,,http://www.xianyangzhiyuan.cn/,,,,
宝鸡职业技术学院,陕西,宝鸡,师范类,,http://www.bjvtc.com/,,,,
陇南师范高等专科学校,甘肃,陇南,师范类,,http://www.lntc.edu.cn/,,,,
三峡电力职业学院,湖北,宜昌,理工类,,http://www.tgcep.cn/,,,,
湖北财税职业学院,湖北,武汉,财经类,,http://www.hbcszyxy.cn/,,,,
武汉软件工程职业学院,湖北,武汉,理工类,,http://www.whvcse.com/,,,,
湖北工程职业学院,湖北,黄石,理工类,,http://www.hspt.net.cn/,,,,
湖南信息职业技术学院,湖南,长沙,理工类,,http://www.hniu.cn/,,,,
湖南民族职业学院,湖南,岳阳,民族类,,http://hnvc.net.cn/,,,,
怀化职业技术学院,湖南,怀化,综合类,,http://www.hhvtc.com.cn/,,,,
湖南电气职业技术学院,湖南,湘潭,理工类,,http://www.hnjd.net.cn/,,,,
湖南城建职业技术学院,湖南,湘潭,理工类,,http://www.hnucc.com/templet/root/,,,,
长沙职业技术学院,湖南,长沙,综合类,,http://www.cszyedu.cn/,,,,
中山职业技术学院,广东,中山,综合类,,http://www.zspt.cn/,,,,
广州科技贸易职业学院,广东,广州,综合类,,http://www.gzkmu.cn/,,,,
中山火炬职业技术学院,广东,中山,理工类,,http://www.zstp.cn/,,,,
广东理工职业学院,广东,广州,理工类,,http://www.gdpi.edu.cn/,,,,
广东科贸职业学院,广东,广州,综合类,,http://183.63.72.74:800/,,,,
江西航空职业技术学院,江西,南昌,理工类,,http://www.jhxy.com.cn/,,,,
江西应用工程职业学院,江西,萍乡,理工类,,http://www.jxatei.net/,,,,
上饶职业技术学院,江西,上饶,理工类,,http://www.srzy.cn/,,,,
江西农业工程职业学院,江西,樟树,农林类,,http://www.jxaevc.gov.cn/,,,,
淄博师范高等专科学校,山东,淄博,师范类,,http://www.zbnc.edu.cn/,,,,
山东城市建设职业学院,山东,济南,理工类,,http://www.sdcjxy.com,,,,
山东司法警官职业学院,山东,济南,政法类,,http://www.sdsfjy.com/,,,,
临沂职业学院,山东,临沂,综合类,,http://www.lyzyxy.com/,,,,
河南农业职业学院,河南,郑州,农林类,,http://www.hnca.edu.cn/,,,,
周口科技职业学院,河南,周口,理工类,,http://www.zkkjxy.net/,,,,
菏泽家政职业学院,山东,菏泽,综合类,,http://www.hzjzxy.com/,,,,
江汉艺术职业学院,湖北,潜江,艺术类,,http://new.hbjhart.com/,,,,
湖北艺术职业学院,湖北,武汉,艺术类,,http://www.artschool.com.cn/front/MainPageServlet,,,,
咸宁职业技术学院,湖北,咸宁,理工类,,http://www.xnec.cn/,,,,
广州珠江职业技术学院,广东,广州,综合类,,http://www.gzzjedu.cn/,,,,
桂林山水职业学院,广西,桂林,综合类,,http://www.guolianweb.com/,,,,
三亚城市职业学院,海南,三亚,语言类,,http://www.sycsxy.cn/,,,,
四川华新现代职业学院,四川,成都,综合类,,http://www.schxmvc.com.cn/,,,,
陕西电子科技职业学院,陕西,西安,理工类,,http://www.sxetcedu.com/,,,,
陕西旅游烹饪职业学院,陕西,西安,财经类,,http://www.sntcc.cn/,,,,
江西中医药高等专科学校,江西,抚州,医药类,,http://www.jxtcms.net/,,,,
南昌师范高等专科学校,江西,南昌,师范类,,http://www.nctc.com.cn/,,,,
厦门软件职业技术学院,福建,厦门,理工类,,http://www.xmist.edu.cn/,,,,
江西科技职业学院,江西,南昌,综合类,,http://www.jxkeda.com/,,,,
武昌职业学院,湖北,武汉,理工类,,http://www.wczy.cn/,,,,
北京政法职业学院,北京,北京,政法类,,http://www.bcpl.cn/,,,,
山西老区职业技术学院,山西,太原,综合类,,http://www.sxlqzy.cn ,,,,
内蒙古丰州职业学院,内蒙古,呼和浩特,理工类,,http://www.nmzsxy.com/,,,,
内蒙古科技职业学院,内蒙古,呼和浩特,理工类,,http://www.imtvc.cn/,,,,
广东科学技术职业学院,广东,广州,综合类,,http://www.gdit.edu.cn/,,,,
广东文艺职业学院,广东,广州,艺术类,,http://www.gdla.edu.cn/,,,,
广东工程职业技术学院,广东,广州,理工类,,http://www.gpc.net.cn/,,,,
陕西交通职业技术学院,陕西,西安,理工类,,http://www.scct.cn/,,,,
西安航空职业技术学院,陕西,西安,理工类,,http://www.xihang.com.cn/,,,,
新疆师范高等专科学校,新疆,乌鲁木齐,师范类,,http://www.xjei.cn/,,,,
兰州石化职业技术学院,甘肃,兰州,理工类,,http://www.lzpcc.com.cn/,,,,
甘肃工业职业技术学院,甘肃,天水,理工类,,http://www.gsipc.gsedu.cn/,,,,
甘肃警察职业学院,甘肃,兰州,政法类,,http://www.gssjczyxy.com/,,,,
兰州外语职业学院,甘肃,兰州,语言类,,http://www.lzwyedu.com/,,,,
兰州职业技术学院,甘肃,兰州,综合类,,http://www.lvu.edu.cn/,,,,
新疆农业职业技术学院,新疆,昌吉,农林类,,http://www.xjnzy.edu.cn/,,,,
新疆机电职业技术学院,新疆,乌鲁木齐,理工类,,http://www.xjjd.com.cn/,,,,
昌吉职业技术学院,新疆,昌吉,理工类,,http://www.cjpt.cn/,,,,
伊犁职业技术学院,新疆,伊宁,农林类,,http://www.ylzyjs.cn/,,,,
宁夏司法警官职业学院,宁夏,银川,政法类,,http://www.nsjy.com.cn/,,,,
阿克苏职业技术学院,新疆,阿克苏,综合类,,http://www.akszy.com/indexout.asp,,,,
四川机电职业技术学院,四川,攀枝花,理工类,,http://www.scemi.com/,,,,
四川工程职业技术学院,四川,德阳,理工类,,http://www.scetc.net/,,,,
四川工商职业技术学院,四川,都江堰,理工类,,http://www.sctbc.net/,,,,
四川交通职业技术学院,四川,成都,理工类,,http://221.237.163.247/,,,,
四川建筑职业技术学院,四川,德阳,理工类,,http://www.scatc.net/,,,,
宜宾职业技术学院,四川,宜宾,综合类,,http://www.ybzy.cn/,,,,
四川职业技术学院,四川,遂宁,综合类,,http://www.sczyxy.cn/index.asp,,,,
泸州职业技术学院,四川,泸州,综合类,,http://www.lzy.edu.cn/,,,,
遵义职业技术学院,贵州,遵义,综合类,,http://www.zyzy.gov.cn/,,,,
